,0,1,2,3,4,5,6
35,Sunrise: A Song of Two Humans,(1927),---,94 min,"Drama, Romance",8.1,"
A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
36,Smultronstället,(1957),---,91 min,"Drama, Romance",8.1,"
After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
37,A Woman Under the Influence,(1974),---,155 min,"Drama, Romance",8.1,"
Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
38,Ba wang bie ji,(1993),R,171 min,"Drama, Music, Romance",8.1,"
Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history."
39,The Red Shoes,(1948),---,135 min,"Drama, Music, Romance",8.1,"
A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina."
40,The Gold Rush,(1925),---,95 min,"Adventure, Comedy, Drama",8.1,"
A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
41,Dil Chahta Hai,(2001),G,183 min,"Comedy, Drama, Romance",8.1,"
Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
42,Da hong denglong gaogao gua,(1991),---,125 min,"Drama, Romance",8.1,"
A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
43,Barfi!,(2012),13+,151 min,"Comedy, Drama, Romance",8.1,"
Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal."
44,The Circus,(1928),---,72 min,"Comedy, Family, Romance",8.1,"
The Tramp finds work and the girl of his dreams at a circus."
45,The Princess Bride,(1987),---,98 min,"Adventure, Comedy, Family",8.0,"
A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
46,Her,(2013),15+,126 min,"Drama, Romance, Sci-Fi",8.0,"
In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
47,La La Land,(2016),G,128 min,"Comedy, Drama, Music",8.0,"
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
48,The Graduate,(1967),15+,106 min,"Comedy, Drama, Romance",8.0,"
A disillusioned college graduate finds himself torn between his older lover and her daughter."
49,Aladdin,(1992),G,90 min,"Animation, Adventure, Comedy",8.0,"
A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
