,0,1,2,3,4,5,6
35,El Dorado,(1966),---,126 min,"Drama, Romance, Western",7.5,"
Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water."
36,The Assassination of Jesse James by the Coward Robert Ford,(2007),15+,160 min,"Biography, Crime, Drama",7.5,"
Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
37,Of Mice and Men,(1992),G,115 min,"Drama, Western",7.5,"
A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression."
38,Dead Man,(1995),15+,121 min,"Adventure, Drama, Fantasy",7.5,"
On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world."
39,Little Big Man,(1970),PG-13,139 min,"Adventure, Comedy, Drama",7.5,"
Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer."
40,Back to the Future Part III,(1990),10+,118 min,"Adventure, Comedy, Sci-Fi",7.4,"
Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered."
41,Open Range,(2003),R,139 min,"Action, Drama, Romance",7.4,"
A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman."
42,High Plains Drifter,(1973),18+,105 min,"Drama, Mystery, Western",7.4,"
A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way."
43,True Grit,(1969),G,128 min,"Adventure, Drama, Western",7.4,"
A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory."
44,Lone Star,(1996),R,135 min,"Drama, Mystery, Western",7.4,"
When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
45,Yahsi Bati,(2009),7+,112 min,"Adventure, Comedy, Fantasy",7.4,"
In 1881, two Ottoman Secret Agents travel to the USA, at the Sultan's request, to deliver a valuable diamond as a gift for the President."
46,The Ballad of Buster Scruggs,(2018),15+,133 min,"Comedy, Drama, Musical",7.3,"
Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
47,Pale Rider,(1985),18+,115 min,"Drama, Western",7.3,"
A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land."
48,Seven Brides for Seven Brothers,(1954),---,102 min,"Comedy, Drama, Musical",7.3,"
In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too."
49,Il mio nome è Nessuno,(1973),---,116 min,"Comedy, Western",7.3,"
A young, easy-going gunman worships and competes with a famed gunfighter, insisting that he must face down a gang of 150 outlaws before he can retire."
50,The Proposition,(2005),R,104 min,"Crime, Drama, Western",7.3,"
A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother."
51,Bacurau,(2019),18+,131 min,"Action, Adventure, Drama",7.3,"
After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents."
52,The Three Burials of Melquiades Estrada,(2005),R,121 min,"Adventure, Crime, Drama",7.3,"
Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico."
53,Rango,(2011),7A,107 min,"Animation, Action, Adventure",7.2,"
Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
54,Hostiles,(2017),15+,134 min,"Drama, Western",7.2,"
In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
55,Old Henry,(2021),---,99 min,"Action, Drama, Western",7.2,"
An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question."
56,Silverado,(1985),16+,133 min,"Action, Crime, Drama",7.2,"
A misfit bunch of friends comes together to right the injustices which exist in a small town."
57,Spirit: Stallion of the Cimarron,(2002),G,83 min,"Animation, Adventure, Drama",7.2,"
A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd."
58,Django,(1966),---,91 min,"Action, Western",7.2,"
A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries."
59,El Topo,(1970),---,125 min,"Drama, Western",7.2,"
A mysterious black-clad gunfighter wanders a mystical Western landscape encountering multiple bizarre characters."
60,Joheunnom nabbeunnom isanghannom,(2008),R,139 min,"Action, Adventure, Comedy",7.2,"
The story of two outlaws and a bounty hunter in 1940s Manchuria and their rivalry to possess a treasure map while being pursued by the Japanese army and Chinese bandits."
61,Bone Tomahawk,(2015),---,132 min,"Drama, Horror, Western",7.1,"
In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
62,Desperado,(1995),18+,104 min,"Action, Crime, Thriller",7.1,"
Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang."
63,The Longest Ride,(2015),13+,123 min,"Comedy, Drama, Romance",7.0,"
The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
64,Brimstone,(2016),18+,148 min,"Drama, Mystery, Thriller",7.0,"
From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger."
65,The Dressmaker,(I) (2015),R,119 min,"Comedy, Drama, Western",7.0,"
A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
66,Maverick,(1994),PG,127 min,"Action, Adventure, Comedy",7.0,"
Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
67,Hang 'Em High,(1968),---,114 min,"Drama, Western",7.0,"
When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
68,Two Mules for Sister Sara,(1970),GP,116 min,"Adventure, Romance, War",7.0,"
Nun Sara (Shirley MacLaine) is on the run in Mexico and is saved from cowboys by Hogan (Clint Eastwood), who is preparing for a future mission to capture a French fort. The pair become good friends, but Sara never does tell him the true reason behind her being outlawed."
69,Les frères Sisters,(2018),15+,122 min,"Drama, Western",6.9,"
Eli and Charlie Sisters, an infamous duo of gunslinging assassins, chase a gold prospector and his unexpected ally in 1850s Oregon."
70,Westworld,(1973),---,88 min,"Action, Sci-Fi, Thriller",6.9,"
A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park."
71,Ravenous,(1999),18+,101 min,"Adventure, Drama, Horror",6.9,"
In a remote military outpost in the 19th century, Captain John Boyd and his regiment embark on a rescue mission which takes a dark turn when they are ambushed by a sadistic cannibal."
72,Bubba Ho-Tep,(2002),R,92 min,"Comedy, Fantasy, Horror",6.9,"
Elvis Presley and a black ""JFK"" stay in a nursing home where nothing happens - until a wayward Egyptian mummy comes and sucks out the old people's souls thru their anuses. The two decide to fight back."
73,Free State of Jones,(2016),R,139 min,"Action, Biography, Drama",6.9,"
A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government."
74,Slow West,(2015),13+,84 min,"Action, Adventure, Drama",6.9,"
A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide."
75,The Magnificent Seven,(2016),13+,132 min,"Action, Adventure, Drama",6.8,"
Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist."
76,The Power of the Dog,(2021),16+,126 min,"Drama, Romance, Western",6.8,"
Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
77,The Mask of Zorro,(1998),13+,136 min,"Action, Adventure, Comedy",6.8,"
A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
78,City Slickers,(1991),---,113 min,"Comedy, Western",6.8,"
On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
79,News of the World,(2020),16+,118 min,"Action, Adventure, Drama",6.8,"
A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home."
80,Young Guns,(1988),---,107 min,"Action, Drama, Western",6.8,"
A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
81,Let Him Go,(2020),16+,113 min,"Crime, Drama, Thriller",6.7,"
A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson."
82,Wyatt Earp,(1994),PG-13,191 min,"Action, Adventure, Biography",6.7,"
From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action."
83,The Devil's Rejects,(2005),R,107 min,"Crime, Horror, Western",6.7,"
The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
84,The Horse Whisperer,(1998),PG-13,169 min,"Drama, Romance, Western",6.7,"
The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse."
85,The Salvation,(2014),15+,92 min,"Action, Drama, Thriller",6.7,"
In 1870s America, the fury of a notorious gang leader is unleashed when a peaceful American settler avenges the death of his family. Then as his cowardly fellow townspeople betray him, he is forced to hunt down the outlaws alone."
86,Hidalgo,(2004),PG-13,136 min,"Action, Adventure, Biography",6.7,"
In 1890, a down-and-out cowboy and his horse travel to Arabia to compete in a deadly cross desert horse race."
87,Appaloosa,(2008),R,115 min,"Action, Crime, Drama",6.7,"
Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow."
88,The Harder They Fall,(2021),16+,139 min,"Action, Drama, Western",6.6,"
When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge."
89,Far and Away,(1992),PG-13,140 min,"Adventure, Drama, Romance",6.6,"
A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely."
90,Australia,(2008),7+,165 min,"Adventure, Drama, Romance",6.6,"
Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes."
91,Shanghai Noon,(2000),PG-13,110 min,"Action, Adventure, Comedy",6.6,"
A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
92,The Homesman,(2014),R,122 min,"Drama, Western",6.6,"
Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious, independent-minded Mary Bee Cuddy, who in turn employs low-life drifter George Briggs to assist her."
93,Outland,(1981),---,109 min,"Action, Crime, Sci-Fi",6.6,"
A federal marshal stationed at a mining colony on the Jupiter moon of Io uncovers a drug-smuggling conspiracy. He gets no help from the workers or authorities when he finds himself marked for murder."
94,Seraphim Falls,(2006),R,115 min,"Action, Drama, Thriller",6.6,"
After the end of the American Civil War, a former Confederate colonel hunts down a former Yankee officer with whom he has a grudge."
95,The Quick and the Dead,(1995),R,108 min,"Action, Romance, Thriller",6.5,"
A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
96,Three Amigos!,(1986),---,104 min,"Comedy, Western",6.5,"
Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."
97,Young Guns II,(1990),---,104 min,"Action, Drama, Western",6.5,"
In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid."
98,The Missing,(I) (2003),R,137 min,"Adventure, Thriller, Western",6.5,"
In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo."
99,An American Tail: Fievel Goes West,(1991),---,75 min,"Animation, Adventure, Family",6.5,"
Fievel's family decides to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat."
100,The Lone Ranger,(2013),13+,150 min,"Action, Adventure, Western",6.4,"
Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
101,Ned Kelly,(2003),R,110 min,"Action, Adventure, Biography",6.4,"
An innocent man becomes one of the most wanted criminals the world has ever known."
102,The Last Stand,(2013),15+,107 min,"Action, Thriller, Western",6.3,"
The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff."
103,The Warrior's Way,(2010),R,100 min,"Action, Fantasy, Western",6.2,"
A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission."
104,A Million Ways to Die in the West,(2014),13+,116 min,"Comedy, Western",6.1,"
As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
105,Cowboys & Aliens,(2011),13+,119 min,"Action, Drama, Sci-Fi",6.0,"
A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
106,The Legend of Zorro,(2005),PG,129 min,"Action, Adventure, Romance",5.9,"
Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action."
107,Around the World in 80 Days,(2004),13+,120 min,"Action, Adventure, Comedy",5.8,"
To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days."
108,Chaos Walking,(2021),13+,109 min,"Action, Adventure, Fantasy",5.7,"
Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone."
109,Bandidas,(2006),PG-13,93 min,"Action, Comedy, Crime",5.7,"
In turn-of-the-century Mexico, two very different women become a bank-robbing duo in an effort to combat a ruthless enforcer terrorizing their town."
110,The Dark Tower,(2017),13A,95 min,"Action, Adventure, Fantasy",5.6,"
A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell."
111,Wild Wild West,(1999),PG-13,106 min,"Action, Comedy, Sci-Fi",4.9,"
The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War."
112,The Ridiculous 6,(2015),16+,119 min,"Action, Adventure, Comedy",4.8,"
An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad."
113,Jonah Hex,(2010),PG-13,81 min,"Action, Drama, Fantasy",4.7,"
The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth."
