,0,1,2,3,4,5,6
35,La piel que habito,(2011),15+,120 min,"Drama, Horror, Mystery",7.6,"
A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
36,Repulsion,(1965),---,105 min,"Drama, Horror, Thriller",7.6,"
A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence."
37,Peeping Tom,(1960),---,101 min,"Drama, Horror, Thriller",7.6,"
A young man murders women, using a movie camera to film their dying expressions of terror."
38,Kamera o tomeru na!,(2017),---,96 min,"Comedy, Drama, Horror",7.6,"
Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies."
39,Les yeux sans visage,(1960),---,90 min,"Drama, Horror",7.6,"
A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face."
40,The Invisible Man,(1933),---,71 min,"Horror, Sci-Fi",7.6,"
A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
41,Vampire Hunter D: Bloodlust,(2000),R,103 min,"Animation, Action, Drama",7.6,"
A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family."
42,The Conjuring,(2013),15+,112 min,"Horror, Mystery, Thriller",7.5,"
Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
43,A Quiet Place,(2018),15+,90 min,"Drama, Horror, Sci-Fi",7.5,"
In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
44,Interview with the Vampire: The Vampire Chronicles,(1994),18+,123 min,"Drama, Fantasy, Horror",7.5,"
A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
45,28 Days Later...,(2002),18+,113 min,"Drama, Horror, Sci-Fi",7.5,"
Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
46,The Crow - Die Krähe,(1994),16+,102 min,"Action, Crime, Drama",7.5,"
A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder."
47,An American Werewolf in London,(1981),---,97 min,"Comedy, Horror",7.5,"
Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists."
48,Tucker and Dale vs Evil,(2010),R,89 min,"Comedy, Horror",7.5,"
Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students."
49,The Wicker Man,(1973),---,88 min,"Horror, Mystery, Thriller",7.5,"
A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl, who the Pagan locals claim never existed."
50,Grindhouse,(2007),18+,191 min,"Action, Horror, Thriller",7.5,"
Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them."
51,Braindead,(1992),18+,104 min,"Comedy, Fantasy, Horror",7.5,"
A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
52,The Omen,(1976),---,111 min,"Horror, Mystery",7.5,"
Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?"
53,Gojira,(1954),---,96 min,"Action, Horror, Sci-Fi",7.5,"
American nuclear-weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast."
54,Profondo rosso,(1975),---,127 min,"Horror, Mystery, Thriller",7.5,"
A jazz pianist and a wisecracking journalist are pulled into a complex web of mystery after the former witnesses the brutal murder of a psychic."
55,Stree,(2018),---,128 min,"Comedy, Horror",7.5,"
In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s."
56,The Evil Dead,(1981),18+,85 min,Horror,7.4,"
Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons."
57,Scream,(1996),18+,111 min,"Horror, Mystery",7.4,"
A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."
58,Army of Darkness,(1992),15+,81 min,"Comedy, Horror",7.4,"
A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home."
59,Dracula,(1992),18+,128 min,"Drama, Fantasy, Horror",7.4,"
The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land."
60,A Nightmare on Elm Street,(1984),15+,91 min,Horror,7.4,"
Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life."
61,The Rocky Horror Picture Show,(1975),---,100 min,"Comedy, Horror, Musical",7.4,"
A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter."
62,Carrie,(1976),13+,98 min,"Horror, Mystery",7.4,"
Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
63,The Texas Chain Saw Massacre,(1974),18+,83 min,Horror,7.4,"
Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw."
64,Jacob's Ladder,(I) (1990),18+,113 min,"Drama, Horror, Mystery",7.4,"
Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death."
65,Gokseong,(2016),---,156 min,"Drama, Horror, Mystery",7.4,"
Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
66,[Rec],(2007),13A,78 min,"Horror, Mystery, Thriller",7.4,"
A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying."
67,Invasion of the Body Snatchers,(1978),---,115 min,"Horror, Sci-Fi",7.4,"
When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time."
68,El orfanato,(2007),13+,105 min,"Drama, Horror, Mystery",7.4,"
A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."
69,Dracula,(1931),---,75 min,"Drama, Fantasy, Horror",7.4,"
Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night."
70,Nosferatu: Phantom der Nacht,(1979),---,107 min,"Drama, Horror",7.4,"
Count Dracula moves from Transylvania to Wismar, spreading the Black Plague across the land. Only a woman pure of heart can bring an end to his reign of horror."
71,El espinazo del diablo,(2001),R,106 min,"Drama, Horror, Thriller",7.4,"
After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover."
72,The Haunting,(1963),---,112 min,Horror,7.4,"
Hill House has stood for about 90 years and appears haunted: its inhabitants have always met strange, tragic ends. Now Dr. John Markway has assembled a team of people who he thinks will prove whether or not the house is haunted."
73,Tesis,(1996),R,125 min,"Crime, Horror, Mystery",7.4,"
While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty..."
74,Bhool Bhulaiyaa,(2007),---,159 min,"Comedy, Horror, Mystery",7.4,"
An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery."
75,Hereditary,(2018),15+,127 min,"Drama, Horror, Mystery",7.3,"
A grieving family is haunted by tragic and disturbing occurrences."
76,It,(I) (2017),15+,135 min,Horror,7.3,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
77,Split,(IX) (2016),15+,117 min,"Horror, Thriller",7.3,"
Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
78,Doctor Sleep,(2019),15+,152 min,"Drama, Fantasy, Horror",7.3,"
Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
79,Possession,(1981),---,124 min,"Drama, Horror",7.3,"
A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister."
80,The Conjuring 2,(2016),15+,134 min,"Horror, Mystery, Thriller",7.3,"
Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit."
81,Poltergeist,(1982),18+,114 min,"Horror, Thriller",7.3,"
A family's home is haunted by a host of demonic ghosts."
82,Sweeney Todd: The Demon Barber of Fleet Street,(2007),18+,116 min,"Drama, Horror, Musical",7.3,"
The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett."
