,0,1,2,3,4,5,6
32,In the Name of the Father,(1993),G,133 min,"Biography, Crime, Drama",8.1,"
A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them."
33,Hotel Rwanda,(2004),16+,121 min,"Biography, Drama, History",8.1,"
Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
34,The Message,(1976),---,177 min,"Biography, Drama, History",8.1,"
This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history."
35,Andrei Rublev,(1966),---,205 min,"Biography, Drama, History",8.1,"
The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
36,Inherit the Wind,(1960),---,128 min,"Biography, Drama, History",8.1,"
Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
37,Major,(2022),16+,150 min,"Action, Biography, Drama",8.1,"
Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009."
38,Dog Day Afternoon,(1975),7A,125 min,"Biography, Crime, Drama",8.0,"
Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
39,The Pursuit of Happyness,(2006),13+,117 min,"Biography, Drama",8.0,"
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
40,The Imitation Game,(2014),7+,114 min,"Biography, Drama, Thriller",8.0,"
During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
41,Butch Cassidy and the Sundance Kid,(1969),7+,110 min,"Biography, Crime, Drama",8.0,"
Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
42,The King's Speech,(2010),G,118 min,"Biography, Drama, History",8.0,"
The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
43,Lion,(2016),13+,118 min,"Biography, Drama",8.0,"
A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
44,Papillon,(1973),15+,151 min,"Biography, Crime, Drama",8.0,"
A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
45,Ip Man,(2008),R,106 min,"Action, Biography, Drama",8.0,"
During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
46,Cinderella Man,(2005),7+,144 min,"Biography, Drama, Romance",8.0,"
The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
47,Gandhi,(1982),---,191 min,"Biography, Drama, History",8.0,"
The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest."
48,The Straight Story,(1999),10A,112 min,"Biography, Drama",8.0,"
An old man makes a long journey by lawnmower to mend his relationship with an ill brother."
49,Zerkalo,(1975),---,107 min,"Biography, Drama",8.0,"
A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
50,Le scaphandre et le papillon,(2007),PG-13,112 min,"Biography, Drama",8.0,"
The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed."
51,Mar adentro,(I) (2004),13A,126 min,"Biography, Drama",8.0,"
The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die."
52,Persepolis,(2007),G,96 min,"Animation, Biography, Drama",8.0,"
A precocious and outspoken Iranian girl grows up during the Islamic Revolution."
53,Bohemian Rhapsody,(2018),13+,134 min,"Biography, Drama, Music",7.9,"
The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
54,Dallas Buyers Club,(2013),15+,117 min,"Biography, Drama",7.9,"
In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
55,Spartacus,(1960),G,197 min,"Adventure, Biography, Drama",7.9,"
The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
56,Patton,(1970),---,172 min,"Biography, Drama, War",7.9,"
The World War II phase of the career of controversial American general George S. Patton."
57,Togo,(2019),PG,113 min,"Adventure, Biography, Drama",7.9,"
The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
