,0,1,2,3,4,5,6
35,Hedwig and the Angry Inch,(2001),R,95 min,"Comedy, Drama, Music",7.7,"
A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs."
36,Les triplettes de Belleville,(2003),PG-13,80 min,"Animation, Adventure, Comedy",7.7,"
When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
37,The Broken Circle Breakdown,(2012),18+,111 min,"Drama, Music, Romance",7.7,"
Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
38,Rockstar,(2011),---,159 min,"Drama, Music, Romance",7.7,"
Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
39,Joyeux Noël,(2005),PG-13,116 min,"Drama, History, Music",7.7,"
In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
40,Baby Driver,(2017),15+,113 min,"Action, Crime, Drama",7.6,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
41,A Star Is Born,(2018),15+,136 min,"Drama, Music, Romance",7.6,"
A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral."
42,The Commitments,(1991),R,118 min,"Comedy, Drama, Music",7.6,"
Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class."
43,Nashville,(1975),---,160 min,"Comedy, Drama, Music",7.6,"
Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
44,Control,(2007),R,122 min,"Biography, Drama, Music",7.6,"
A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23."
45,La Vie En Rose,(2007),PG-13,140 min,"Biography, Drama, Music",7.6,"
Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
46,Shine,(1996),PG-13,105 min,"Biography, Drama, Music",7.6,"
Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
47,Le violon rouge,(1998),R,130 min,"Drama, Music, Mystery",7.6,"
A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner."
48,Tár,(2022),R,158 min,"Drama, Music",7.5,"
Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra."
49,La pianiste,(2001),R,131 min,"Drama, Music",7.5,"
A young man romantically pursues his masochistic piano teacher."
50,The Piano,(1993),16+,121 min,"Drama, Music, Romance",7.5,"
In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
51,"The Adventures of Priscilla, Queen of the Desert",(1994),R,104 min,"Comedy, Music",7.5,"
Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret."
52,The Producers,(1967),---,88 min,"Comedy, Music",7.5,"
A stage-play producer devises a plan to make money by producing a sure-fire flop."
53,Zimna wojna,(2018),13+,89 min,"Drama, Music, Romance",7.5,"
In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France."
54,High Fidelity,(2000),R,113 min,"Comedy, Drama, Music",7.4,"
Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
55,Begin Again,(II) (2013),R,104 min,"Comedy, Drama, Music",7.4,"
A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents."
56,Inside Llewyn Davis,(2013),13+,104 min,"Drama, Music",7.4,"
A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961."
57,August Rush,(2007),PG,114 min,"Drama, Music",7.4,"
An orphaned musical prodigy uses his gift to try to find his birth parents."
58,SLC Punk!,(1998),R,97 min,"Comedy, Drama, Music",7.4,"
In the early 1980s Stevo, and Heroin Bob are the only two dedicated punks in conservative Salt Lake City."
59,Love & Mercy,(2014),13A,121 min,"Biography, Drama, Music",7.4,"
In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene Landy."
60,Immortal Beloved,(1994),R,121 min,"Biography, Drama, Music",7.4,"
The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...                See full summary »
"
61,Elvis,(2022),13+,159 min,"Biography, Drama, Music",7.3,"
The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
62,Tarzan,(1999),G,88 min,"Animation, Adventure, Comedy",7.3,"
A man raised by gorillas must decide where he really belongs when he discovers he is a human."
63,Youth,(I) (2015),15+,124 min,"Comedy, Drama, Music",7.3,"
A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday."
64,Across the Universe,(2007),7+,133 min,"Drama, Fantasy, History",7.3,"
The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist."
65,The Boat That Rocked,(2009),R,135 min,"Comedy, Drama, Music",7.3,"
A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves."
66,Hustle & Flow,(2005),R,116 min,"Crime, Drama, Music",7.3,"
With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee."
67,Mr. Holland's Opus,(1995),PG,143 min,"Drama, Music",7.3,"
A frustrated composer finds fulfillment as a high school music teacher."
68,24 Hour Party People,(2002),R,117 min,"Biography, Comedy, Drama",7.3,"
In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world."
69,La famille Bélier,(2014),G,106 min,"Comedy, Drama, Music",7.3,"
A girl, who lives with her deaf parents, discovers that she has the gift of singing."
70,School of Rock,(2003),13+,109 min,"Comedy, Music",7.2,"
After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
71,8 Mile,(2002),7+,110 min,"Drama, Music",7.2,"
Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."
72,Top Secret!,(1984),---,90 min,"Comedy, Crime, Music",7.2,"
An American rock and roll singer (Val Kilmer) becomes involved in a Resistance plot to rescue a scientist (Michael Gough) imprisoned in East Germany."
73,The Doors,(1991),18+,140 min,"Biography, Drama, Music",7.2,"
The story of the famous and influential 1960s rock band The Doors and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971."
74,Crazy Heart,(2009),13+,112 min,"Drama, Music, Romance",7.2,"
A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him."
75,A Mighty Wind,(2003),PG-13,91 min,"Comedy, Music",7.2,"
Mockumentary captures the reunion of 1960s folk trio the Folksmen as they prepare for a show at The Town Hall to memorialize a recently deceased concert promoter."
76,Pump Up the Volume,(1990),---,102 min,"Comedy, Drama, Music",7.2,"
Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens."
77,Strictly Ballroom,(1992),PG,94 min,"Comedy, Drama, Music",7.2,"
A maverick dancer risks his career by performing an unusual routine and sets out to succeed with a new partner."
78,Sweet and Lowdown,(1999),PG-13,95 min,"Comedy, Drama, Music",7.2,"
In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman."
79,Rab Ne Bana Di Jodi,(2008),---,167 min,"Comedy, Drama, Music",7.2,"
A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani."
